,fips,name_16,votes,reporting,precincts,votes16_trumpd,votes16_clintonh,votes16_johnsong,votes16_steinj,votes16_castled,votes16_de_la_fuenter,est_votes_remaining,votes16_mcmulline,votes16_hedgesj,votes16_kahnl,votes16_la_rivag,votes16_hoeflingt,votes16_kenistonc,votes16_smithm,votes16_atwoodf,votes16_kennedya,votes16_kopitkek,votes16_kotlikoffl,votes16_lyttleb,votes16_maldonadoj,votes16_maturenm,votes16_scottr,votes16_silvar,votes16_soltysike,votes16_vacekd,votes16_copelands,votes16_jacobp,votes16_whitej,votes16_mooreheadm,votes16_none_of_these_candidates,votes16_duncanr,votes16_skewesp,votes16_giordanir,total16,rep16_frac,dem16_frac,green16_frac,libert16_frac,other16_frac,rep16_frac2,dem16_frac2,name_prev,ST,statecode_prev,dem08,dem12,rep08,rep12,total08,total12,X,Y,other08,other12,rep12_frac,rep08_frac,dem12_frac,dem08_frac,other12_frac,other08_frac,rep12_frac2,rep08_frac2,dem12_frac2,dem08_frac2,X1,County,Less.Than.High.School,At.Least.High.School.Diploma,At.Least.Bachelor.s.Degree,Graduate.Degree,School.Enrollment,Median.Earnings.2010.dollars,White.not.Latino.Population,African.American.Population,Native.American.Population,Asian.American.Population,Population.some.other.race.or.races,Latino.Population,Children.Under.6.Living.in.Poverty,Adults.65.and.Older.Living.in.Poverty,Total.Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,State,White,Black,Hispanic,Asian,Amerindian,Other,White_Asian,SIRE_homogeneity,median_age,lon,lat,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,CA,S,MAR,CFS,ACFS,MeanALC,MaxALC,Mixedness,elevation,annual_PRCP,winter_PRCP,summer_PRCP,spring_PRCP,autumn_PRCP,annual_TAVG,annual_TMAX,annual_TMIN,winter_TAVG,winter_TMAX,winter_TMIN,summer_TAVG,summer_TMAX,summer_TMIN,spring_TAVG,spring_TMAX,spring_TMIN,autumn_TAVG,autumn_TMAX,autumn_TMIN,nearest_county,temp,precip,temp_bins,lat_bins,lon_bins,precip_bins,elevation_bins,,,,,,,
1,2000,Alaska,246588,440,442,130415,93007,14593,4445,3156,972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246588,0.528878129,0.377175694,0.018026019,0.059179684,0.059179684,0.583716017,0.416283983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,fips,1107,1007,1079
2,1107,Pickens,9494,35,35,5454,3972,49,19,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9494,0.574468085,0.418369497,0.002001264,0.005161154,0.005161154,0.578612349,0.421387651,Pickens,AL,1,4594,4455,5434,5124,10067,9621,733065.4254,-441416.1245,39,42,0.53258497,0.539783451,0.463049579,0.456342505,0.004365451,0.003874044,0.534920138,0.541882728,0.465079862,0.458117272,1107,"Pickens County, Alabama",21.3,78.7,11.5,3.4,74.15,23145.62381,55.9,41.95,0.1,0.1,0.65,1.3,37.25,22.15,19637,50.7,26.55,0.453,36.1,20.25,15.25,25.8,1.3,12.1,25.3,Alabama,55.9,41.95,1.3,0.1,0.1,0.65,56,0.4886745,40.7,-88.096878,33.2968085,5.2,3.3,0.12,41.3,0.487,0.181,0.385,0.157,837.3,174.5,0.176,0.09,236.9,NA,75.3,NA,-1.44980532,-1.743882084,0.866389029,-3.73E-05,3.73E-05,0.000253511,0.000540242,0.29409341,60.73333333,5534.333333,1582.333333,1296.666667,1432,1223.333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1107,NA,1405.720667,NA,"(31.7,33.8]","(-90.4,-87.2]","(1.39e+03,4.3e+03]","(38.9,105]",,,,name_16,Pickens,Bibb,Lawrence
3,1007,Bibb,8748,10,10,6733,1874,124,17,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8748,0.769661637,0.214220393,0.001943301,0.014174668,0.014174668,0.782270245,0.217729755,Bibb,AL,1,2299,2202,6262,6132,8644,8420,825003.9652,-466189.223,83,86,0.728266033,0.724433133,0.26152019,0.265964831,0.010213777,0.009602036,0.735781138,0.731456606,0.264218862,0.268543394,1007,"Bibb County, Alabama",25.5,74.5,10,2.6,67.3,26875.00381,75.2,22.5,0.2,0.15,0.6,1.35,21.55,12.4,22189.5,20.9,12.25,0.411,17.9,20.25,13.55,22.65,0.6,18.05,25,Alabama,75.2,22.5,1.35,0.15,0.2,0.6,75.35,0.6163535,38.3,-87.1271475,33.0158929,4.7,5.1,0.13,49.3,0.393,0.259,0.343,0.111,465.6,106.7,0.16,0.076,254.24,7.65,98.1,11.2,-1.889122744,-1.031048506,0.895458556,2.26E-05,2.26E-05,0.00014035,0.000412804,0.002645877,144.8,5757.5,1625.5,1375.5,1427,1329.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007,NA,1462.405,NA,"(31.7,33.8]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(105,167]",,,,votes,9494,8748,14623
4,1079,Lawrence,14623,31,31,10732,3611,249,31,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14623,0.73391233,0.246939752,0.002119948,0.01702797,0.01702797,0.748239559,0.251760441,Lawrence,AL,1,5164,5069,9277,8874,14680,14148,789904.25,-298063.8946,239,205,0.627226463,0.631948229,0.358283856,0.351771117,0.014489681,0.016280654,0.636448397,0.642407036,0.363551603,0.357592964,1079,"Lawrence County, Alabama",24.8,75.2,10.7,3.3,72,26349.21397,77.2,11.75,5.1,0.15,4.05,1.7,16.95,11.65,34216.5,36.7,13,0.399,17,22.1,15.5,21.7,0.6,15.4,24.65,Alabama,77.2,11.75,1.7,0.15,5.1,4.05,77.35,0.61432275,40.2,-87.3218651,34.5297759,4.6,5.5,0.1,52.1,0.363,0.278,0.377,0.141,633.1,84.6,0.177,0.081,227.97,6.67,101.1,7.5,-0.703439356,-0.884465042,0.81041675,2.43E-05,2.43E-05,8.23E-05,0.000316354,-0.229873374,182.45,NA,NA,NA,NA,NA,604,716,493,418.5,525,312,778.5,883.5,673.5,602.5,718,486,615.5,734,496.5,1079,15.77777778,NA,"(14.9,16.6]","(33.8,35.6]","(-90.4,-87.2]",NA,"(167,216]",,,,reporting,35,10,31
5,1115,St. Clair,37937,32,32,31579,5550,678,130,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37937,0.832406358,0.146295174,0.003426734,0.017871735,0.017871735,0.850521156,0.149478844,St. Clair,AL,1,6091,5801,27649,29031,34088,35235,885294.4258,-380901.7243,348,403,0.823925074,0.811106548,0.164637434,0.178684581,0.011437491,0.010208871,0.83345774,0.819472436,0.16654226,0.180527564,1115,"St. Clair County, Alabama",20.7,79.3,14.5,4.7,73.2,28778.64603,87.6,8.65,0.35,0.5,1.15,1.8,14.5,9.8,80589,39.4,10.95,0.415,14.15,27.9,14,26.45,0.4,13.2,18.1,Alabama,87.6,8.65,1.8,0.5,0.35,1.15,88.1,0.77535175,38.2,-86.3156631,33.7129627,4.2,4,0.09,48.4,0.3,0.272,0.329,0.135,180.1,88.6,0.159,0.064,183.47,5.31,79.4,8,-0.853324368,-0.318728425,0.642029061,3.86E-05,3.86E-05,4.13E-05,0.00021921,-0.468537441,193.9,5722,1493,1467,1433,1329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1115,NA,1453.388,NA,"(31.7,33.8]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(167,216]",,,,precincts,35,10,31
6,1109,Pike,13025,35,35,7681,5039,257,48,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13025,0.589712092,0.386871401,0.003685221,0.019731286,0.019731286,0.603852201,0.396147799,Pike,AL,1,5879,6035,8004,7963,13955,14123,946041.9345,-588956.5224,72,125,0.563832047,0.573557865,0.427317142,0.421282694,0.008850811,0.005159441,0.568866981,0.57653245,0.431133019,0.42346755,1109,"Pike County, Alabama",20.6,79.4,23.7,9.3,81.95,18791.54635,58.05,36.65,0.75,1.4,1.2,1.95,47.7,16.2,31517.5,43.3,28.85,0.514,37.35,26.45,20.25,24.5,1.15,9.75,17.95,Alabama,58.05,36.65,1.95,1.4,0.75,1.2,59.45,0.472079,31.7,-85.9419965,31.7987263,4.7,3.8,0.09,32.4,0.46,0.183,0.36,0.146,1029.9,338.4,0.203,0.07,410.17,6.76,73.4,10,-1.31247914,-1.50833105,0.9364073,1.40E-05,1.40E-05,0.000247262,0.000914646,0.254153977,142.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1109,NA,NA,NA,"(31.7,33.8]","(-87.2,-84.5]",NA,"(105,167]",,,,votes16_trumpd,5454,6733,10732
7,1091,Marengo,10948,24,24,5224,5607,104,13,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10948,0.477164779,0.512148338,0.001187431,0.009499452,0.009499452,0.482319269,0.517680731,Marengo,AL,1,5926,6167,5516,5336,11471,11543,772270.1107,-553544.8394,29,40,0.462271507,0.480864789,0.53426319,0.516607096,0.003465304,0.002528114,0.463878988,0.482083552,0.536121012,0.517916448,1091,"Marengo County, Alabama",20.3,79.7,17.9,5.6,76.6,21394.02159,46,52.15,0.1,0.15,0.6,1.05,33.9,17.55,21118.5,72.7,24.7,0.484,32.5,26.35,15.55,21.55,3.8,11.25,21.5,Alabama,46,52.15,1.05,0.15,0.1,0.6,46.15,0.48371175,40.1,-87.791091,32.2475911,4.8,4.5,0.12,49.1,0.458,0.168,0.416,0.174,724.9,128.4,0.177,0.094,449.4,6.67,68.5,10.5,-1.990461065,-1.593842361,0.865556361,-2.22E-05,2.22E-05,0.000230404,0.001027382,0.165335212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(31.7,33.8]","(-90.4,-87.2]",NA,NA,,,,votes16_clintonh,3972,1874,3611
8,1069,Houston,42030,29,29,30567,10547,772,144,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42030,0.727266238,0.250939805,0.003426124,0.018367833,0.018367833,0.743469378,0.256530622,Houston,AL,1,12225,12367,29254,29270,41735,41984,1014504.617,-651885.4909,256,347,0.697170351,0.700946448,0.294564596,0.292919612,0.008265053,0.00613394,0.702980522,0.705272548,0.297019478,0.294727452,1069,"Houston County, Alabama",18.1,81.9,19,6.8,73.1,25514.17111,69.55,25.4,0.4,0.85,1.35,2.45,30.7,11.55,99319,40.7,16.4,0.466,24.9,30.25,16.15,27.55,0.6,11.15,14.3,Alabama,69.55,25.4,2.45,0.85,0.4,1.35,70.4,0.549107,38,-85.2963976,31.1581928,4.5,4.3,0.09,55.1,0.407,0.184,0.349,0.13,776.6,315.8,0.162,0.07,534.04,5.43,65.1,8.9,-1.057948894,-0.830295416,0.60947317,8.91E-06,8.91E-06,5.86E-05,0.00029975,-0.619783126,83.8,5591,1475,1632,1343,1141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1069,NA,1420.114,NA,"[19.6,31.7]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(38.9,105]",,,,votes16_johnsong,49,124,249
9,1003,Baldwin,94090,48,48,72780,18409,2448,453,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94090,0.77351472,0.195653098,0.004814539,0.026017643,0.026017643,0.798122581,0.201877419,Baldwin,AL,1,19386,18424,61271,66016,81413,85491,792535.4459,-732327.7927,756,1051,0.772198243,0.752594794,0.215508065,0.238119219,0.012293692,0.009285986,0.781809569,0.759648884,0.218190431,0.240351116,1003,"Baldwin County, Alabama",12.4,87.6,26.8,8.7,74.95,26630.5654,84.3,9.55,0.6,0.65,1.25,3.65,20.9,5.2,177131,43,12.05,0.439,19.1,31.1,17.4,27.4,0.85,12.35,10.9,Alabama,84.3,9.55,3.65,0.65,0.6,1.25,84.95,0.721336,41,-87.7460666,30.6592183,3.3,3.8,0.09,46.4,0.279,0.206,0.266,0.118,301.5,188.1,0.166,0.068,213.3,4.18,76.2,6.4,-0.314480369,0.073220388,0.402143866,9.15E-06,9.15E-06,3.15E-05,0.000145055,-0.947753893,41.925,NA,NA,NA,NA,NA,663.5,770.25,557.5,513,623.5,402.75,803.5,897,710,657.75,770.25,545.25,677.75,787.5,568.25,1003,19.08333333,NA,"(18.5,25.2]","[19.6,31.7]","(-90.4,-87.2]",NA,"(38.9,105]",,,,votes16_steinj,19,17,31
10,1021,Chilton,18255,20,20,15068,2909,226,52,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18255,0.825417694,0.159353602,0.002848535,0.01238017,0.01238017,0.838182122,0.161817878,Chilton,AL,1,3674,3397,13960,13932,17785,17485,864683.9873,-475362.2332,151,156,0.796797255,0.784931122,0.194280812,0.206578577,0.008921933,0.008490301,0.803970223,0.79165249,0.196029777,0.20834751,1021,"Chilton County, Alabama",24.1,75.9,12.2,4.8,69.25,26935.60413,82.15,10,0.3,0.2,1.1,6.25,27.15,11.95,42957.5,42.1,17.8,0.451,25.35,22.75,14,23,0.85,18.6,20.75,Alabama,82.15,10,6.25,0.2,0.3,1.1,82.35,0.6889025,37.2,-86.7266275,32.8540595,4.6,4.9,0.1,57.7,0.299,0.201,0.383,0.125,321.2,98.7,0.202,0.065,692.29,4.68,99.3,9.9,-0.938780947,-1.039926308,0.699720602,-2.88E-06,2.88E-06,9.63E-05,0.000349924,-0.448200673,174.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021,NA,NA,NA,"(31.7,33.8]","(-87.2,-84.5]",NA,"(167,216]",,,,votes16_castled,NA,NA,NA
