,FIPs,County,State,Zip_Code,Station
0,1001,Autauga County,AL,36091,KMGM
1,1003,Baldwin County,AL,36502,KNSE
2,1005,Barbour County,AL,36017,KTOI
3,1007,Bibb County,AL,35115,KEET
4,1009,Blount County,AL,35063,KBHM
5,1011,Bullock County,AL,36029,KMGM
6,1013,Butler County,AL,36071,KPRN
7,1015,Calhoun County,AL,36205,KANB
8,1017,Chambers County,AL,36854,KLGC
9,1019,Cherokee County,AL,35984,KCHA
10,1021,Chilton County,AL,35115,KEET
11,1023,Choctaw County,AL,36915,KMEI
12,1025,Clarke County,AL,36540,KGZH
13,1027,Clay County,AL,36251,KANB
14,1029,Cleburne County,AL,36264,KANB
15,1031,Coffee County,AL,36323,KTOI
16,1033,Colbert County,AL,35672,KMSL
17,1035,Conecuh County,AL,36502,KNSE
18,1037,Coosa County,AL,35151,KALX
19,1039,Covington County,AL,36476,KGZH
20,1041,Crenshaw County,AL,36323,KTOI
21,1043,Cullman County,AL,35619,KCMD
22,1045,Dale County,AL,36360,KDHN
23,1047,Dallas County,AL,36758,KMGM
24,1049,DeKalb County,AL,35968,KCHA
25,1051,Elmore County,AL,36024,KALX
26,1053,Escambia County,AL,36502,KNSE
27,1055,Etowah County,AL,35901,KGAD
28,1057,Fayette County,AL,35554,KBHM
29,1059,Franklin County,AL,35585,KTUP
30,1061,Geneva County,AL,36305,KDHN
31,1063,Greene County,AL,35480,KTCL
32,1065,Hale County,AL,36744,KTCL
33,1067,Henry County,AL,36317,KTOI
34,1069,Houston County,AL,36320,KMAI
35,1071,Jackson County,AL,35751,KMDQ
36,1073,Jefferson County,AL,35022,KEKY
37,1075,Lamar County,AL,35576,KGTR
38,1077,Lauderdale County,AL,35614,KDCU
39,1079,Lawrence County,AL,35619,KCMD
40,1081,Lee County,AL,36874,KAUO
41,1083,Limestone County,AL,35614,KDCU
42,1085,Lowndes County,AL,36043,KMGM
43,1087,Macon County,AL,36039,KTOI
44,1089,Madison County,AL,35803,KHSV
45,1091,Marengo County,AL,36722,KGZH
46,1093,Marion County,AL,35554,KBHM
47,1095,Marshall County,AL,35175,KHSV
48,1097,Mobile County,AL,36571,KMOB
49,1099,Monroe County,AL,36444,KGZH
50,1101,Montgomery County,AL,36043,KMGM
51,1103,Morgan County,AL,35175,KHSV
52,1105,Perry County,AL,36786,KTCL
53,1107,Pickens County,AL,35576,KGTR
54,1109,Pike County,AL,36082,KTOI
55,1111,Randolph County,AL,36264,KANB
56,1113,Russell County,AL,36874,KAUO
57,1115,St. Clair County,AL,35135,KPLR
58,1117,Shelby County,AL,35022,KEKY
59,1119,Sumter County,AL,36925,KMEI
60,1121,Talladega County,AL,35014,KPLR
61,1123,Tallapoosa County,AL,36251,KANB
62,1125,Tuscaloosa County,AL,35184,KEKY
63,1127,Walker County,AL,35130,KBHM
64,1129,Washington County,AL,36529,KMOB
65,1131,Wilcox County,AL,36722,KGZH
66,1133,Winston County,AL,35541,KCMD
67,2013,Aleutians East Borough,AK,99661,PASD
68,2016,Aleutians West Census Area,AK,99692,PADU
69,2020,Anchorage Municipality,AK,99523,PANC
70,2050,Bethel Census Area,AK,99614,PAKI
71,2060,Bristol Bay Borough,AK,99670,PAKN
72,2068,Denali Borough,AK,99744,PAIN
73,2070,Dillingham Census Area,AK,99628,PADL
74,2090,Fairbanks North Star Borough,AK,99712,PAFA
75,2100,Haines Borough,AK,99827,PAHN
76,2105,Hoonah-Angoon Census Area,AK,99825,PAOH
77,2110,Juneau City and Borough,AK,99801,PAJN
78,2122,Kenai Peninsula Borough,AK,99672,PAEN
79,2130,Ketchikan Gateway Borough,AK,99901,PAKT
80,2150,Kodiak Island Borough,AK,99643,PALB
81,2164,Lake and Peninsula Borough,AK,99625,PAKN
82,2170,Matanuska-Susitna Borough,AK,99654,PANC
83,2180,Nome Census Area,AK,99769,PASA
84,2185,North Slope Borough,AK,99747,PABA
85,2188,Northwest Arctic Borough,AK,99749,PASK
86,2195,Petersburg Census Area,AK,99836,PAFE
87,2198,Prince of Wales-Hyder Census Area,AK,99923,PAKT
88,2220,Sitka City and Borough,AK,99835,PASI
89,2230,Skagway Municipality,AK,99840,PAGY
90,2240,Southeast Fairbanks Census Area,AK,99738,PAEG
91,2261,Valdez-Cordova Census Area,AK,99588,PAVD
