Zip_Code,Station
36502,KNSE
36017,KTOI
35115,KEET
35063,KBHM
36029,KMGM
36071,KPRN
36205,KANB
36854,KLGC
35984,K4A9
35115,KEET
36915,KMEI
36540,KGZH
36251,KANB
36264,KANB
36323,KTOI
35672,KMSL
36502,KNSE
35151,KALX
36476,KGZH
36323,KTOI
35619,KCMD
36360,KDHN
36758,KMGM
35968,K4A9
36024,KALX
36502,KNSE
35901,KGAD
35554,K1M4
35585,K1M4
36305,KDHN
35480,KTCL
36744,KTCL
36317,KTOI
36320,KMAI
35751,KMDQ
35022,KEKY
35576,KGTR
35614,KDCU
35619,KCMD
36874,KAUO
35614,KDCU
36043,KMGM
36039,KTOI
35803,KHSV
36722,KGZH
35554,K1M4
35175,KHSV
36571,KMOB
36444,KGZH
36043,KMGM
35175,KHSV
36786,KTCL
35576,KGTR
36082,KTOI
36264,KANB
36874,KAUO
35135,KPLR
35022,KEKY
36925,KMEI
35014,KPLR
36251,KANB
35184,KEKY
35130,KBHM
36529,KMOB
36722,KGZH
35541,KCMD
99661,UNKNOWN
99692,UNKNOWN
99523,UNKNOWN
99614,UNKNOWN
99670,UNKNOWN
99744,PAIN
99628,UNKNOWN
99712,PAFA
99827,PAHN
99825,UNKNOWN
99801,PAJN
99672,UNKNOWN
99901,PAKT
99643,UNKNOWN
99625,UNKNOWN
99654,UNKNOWN
99769,PASA
99747,PABA
99749,PASK
99836,PAFE
99923,PAKT
99835,PASI
99840,PAGY
99738,PAEG
99588,UNKNOWN
99903,PAKW
99689,PAYA
99627,PAMC
86556,KRQE
85617,7706
86002,KFLG
85541,KPAN
85543,KSAD
85534,GTA3
85359,KBLH
85040,KPHX
86442,KIFP
85942,KSOW
85730,KDMA
85117,UNKNOWN
85640,6437
86314,KPRC
85364,KNYL
72073,KSGT
71663,KLLQ
72531,KBPK
72732,KROG
72685,KHRO
71651,KELD
71701,KCDH
72740,KASG
71653,KGLH
71728,KADF
72430,KTKX
72153,KCCA
72057,KPBF
71861,KMNE
72001,KRUE
72421,KJBR
72956,KFSM
72327,KAWM
72396,KAWM
71725,KADF
71662,KLLQ
71677,KLLQ
72039,KCCA
72933,KFSM
72542,KARG
71933,KHOT
72057,KPBF
72436,KTKX
71862,KTXK
71933,KHOT
71971,KDEQ
72112,KM19
72561,KBVX
72112,KM19
72073,KSGT
72830,KRUE
71861,KMNE
72440,KARG
72366,KCKM
71603,KPBF
71853,KTXK
72933,KFSM
72037,KSGT
72703,KASG
72661,KBPK
71834,KTXK
72330,KJBR
72021,KSGT
71933,KHOT
71858,KTXK
72628,KHRO
71701,KCDH
72001,KRUE
72366,KCKM
71971,KDEQ
72421,KJBR
71944,KDEQ
72801,KRUE
72170,KSGT
72116,KLIT
72413,KARG
72021,KSGT
72019,KLIT
72944,KRKR
72686,KCCA
72903,KFSM
71832,KDEQ
72542,KARG
72153,KCCA
71730,KELD
72013,KCCA
72703,KASG
72010,KBVX
72112,KM19
72857,KRUE
94501,KOAK
95666,WNC1
95917,KOVE
95228,NSC1
95645,KSMF
94509,IBC1
95538,UNKNOWN
95666,WNC1
93625,KFAT
95951,KOVE
95540,KFOT
92243,KIPL
93549,KNID
93304,KBFL
93239,T565
95457,KUKI
96114,IEC1
90013,KCQT
93639,UNKNOWN
94979,7094
95369,KMER
95490,4027
95340,KMCE
96134,RBO3
93546,2998
93426,ABC1
94574,KSTS
96162,LLC1
90638,KFUL
95631,SHC1
95983,YVC1
92373,KSBD
95630,KMHR
95004,KWVI
92344,3047
91901,3263
94109,FOC1
95202,KSCK
93420,KSBP
94404,KSFO
93105,KSBA
94550,KLVK
95033,SGC1
96001,KRDD
96118,9436
96134,RBO3
94590,KAPC
95448,KSTS
94550,KLVK
95645,KSMF
96022,KRDD
95595,LKC1
93247,KPTV
95311,VBC1
91304,s/SV
95616,KEDU
95977,RRC1
80229,KBJC
81101,KALS
80013,KBKF
81137,KDRO
81029,KSPD
81057,KLAA
80533,KLMO
80038,UNKNOWN
81236,KAEJ
80825,KITR
80439,KBJC
81120,KALS
81120,KALS
81039,KPUB
81252,K04V
81410,KAJZ
80110,KAPA
81324,LDU1
80104,KAPA
81645,O092
80832,KLIC
80903,KCOS
81240,KFCS
81641,KEEO
80422,KBDU
80446,K20V
81235,MPC2
81040,KVTP
80430,K33V
80439,KBJC
81045,KLHX
80834,KITR
80461,KLXV
81326,O058
80549,KFNL
81039,KPUB
81076,KLHX
80741,KSTK
81523,DRC2
81154,KCPW
81638,KHDN
81335,OKC2
81402,PSC2
80701,KFMM
81039,KPUB
81432,6226
80827,K4BM
80731,KHEQ
81654,O101
81052,KLAA
81039,KPUB
81638,KHDN
81135,KALS
81638,KHDN
81155,K04V
81432,6226
81435,KTEX
80721,KHEQ
80443,KCCU
80813,KFCS
80741,KSTK
80642,KDEN
80758,KIML
6484,UNKNOWN
6040,UNKNOWN
6021,UNKNOWN
6073,UNKNOWN
6422,UNKNOWN
6231,UNKNOWN
6066,UNKNOWN
6277,UNKNOWN
19977,KDOV
19711,KILG
19958,KGED
