Zip_Code,Station
20634,KDCA
2642,KHYA
1026,KBDL
2762,KPVD
2535,KMVY
1810,KBOS
1376,KORH
1085,KBDL
1026,KBDL
1462,KORH
2584,KACK
2026,KBOS
2738,KEWB
2026,KBOS
1436,KORH
48849,KGRR
49783,CYAM
48849,KGRR
48849,KGRR
48014,CYZR
56219,KABR
56531,KFAR
56219,KABR
56565,KFAR
39121,KBTR
38686,KMEM
38925,KGTR
39747,KGTR
39181,KJAN
65105,KCOU
65890,KSGF
59008,KCOD
59311,KGCC
59339,KSDY
59462,KGTF
59917,CYXC
59417,KGPI
59858,KMSO
59520,KGTF
59462,KGTF
59931,KGPI
59545,CYXH
59917,CYXC
59721,KBZN
59830,KMSO
59084,KBIL
59314,KGCC
59339,KSDY
59840,KMSO
59821,KMSO
59466,CYQL
59353,KSDY
89407,KRNO
89013,KMMH
89042,KSGU
89041,KVGT
89705,KRNO
3253,KLEB
3838,KPWM
3431,KMHT
3593,KPWM
3245,KLEB
3033,KMHT
3303,KMHT
3044,KPSM
3825,KPSM
3748,KLEB
8225,KACY
7010,KTEB
8036,KTTN
8012,KPHL
8223,KACY
8353,KILG
7040,KEWR
8012,KPHL
7303,KEWR
8833,KTTN
8902,KTTN
7727,KTTN
7927,KEWR
8734,KACY
7013,KTEB
8079,KILG
7060,KEWR
7871,KTEB
7036,KEWR
7880,KABE
87035,KABQ
87035,KABQ
87031,KABQ
13053,KITH
11202,KLGA
14109,KIAG
13053,KITH
28734,KAVL
28702,KTYS
28719,KAVL
28713,KTYS
28714,KAVL
28541,KOAJ
28713,KTYS
28714,KAVL
58643,KDIK
58737,KMOT
58239,KDVL
58040,KFAR
58443,KJMS
58632,KDIK
58440,KJMS
58440,KJMS
58757,KISN
58779,KMOT
58771,KMOT
58282,KDVL
58384,KMOT
58367,KDVL
58040,KFAR
58444,KBIS
58643,KDIK
58367,KDVL
58779,KMOT
45119,KCVG
45153,KCVG
73443,KLAW
73430,KDFW
97883,KPDT
97406,KOTH
97709,KRDM
97865,KPDT
97044,KPDX
97526,KMFR
97761,KRDM
97526,KMFR
97640,KRDM
97413,KEUG
97394,KEUG
97346,KSLE
97338,KSLE
97039,KYKM
97112,KSLE
97883,KPDT
97857,KALW
97021,KPDX
97750,KRDM
2806,KPVD
2887,KPVD
2801,KEWB
2828,KPVD
2808,KWST
57369,KPIR
57370,KPIR
57370,KPIR
57642,KBIS
57779,KRAP
57247,KABR
57787,KRAP
57623,KPIR
37851,KTYS
37848,KTYS
37711,KTRI
37711,KTRI
37765,KTRI
37711,KTRI
37813,KTYS
37074,KBNA
37073,KBNA
37074,KBNA
37077,KBNA
37074,KBNA
79714,KMAF
77833,KCLL
78023,KSAT
76380,KLAW
78023,KSAT
78635,KSAT
78959,KAUS
78933,KCLL
79847,KELP
79227,KLAW
78624,KSAT
78959,KAUS
79247,KLAW
78004,KSAT
79227,KLAW
77986,KAUS
79499,KLBB
78852,MMPG
78023,KSAT
79708,KMAF
79845,MMCU
77833,KCLL
84046,KRKS
84031,KPVU
84515,KGJT
5733,KRUT
5255,KRUT
5680,KBTV
5403,KBTV
5858,KBTV
5450,KBTV
5486,KPBG
5442,KBTV
5061,KLEB
5680,KBTV
5733,KRUT
5602,KBTV
5342,KALB
5089,KLEB
22967,KLYH
22920,KSHD
23937,KLYH
24534,KLYH
22451,KDCA
20160,KIAD
24068,KROA
22920,KSHD
24221,KTRI
24212,KTRI
24203,KTRI
24515,KLYH
24402,KSHD
22980,KSHD
98857,KMWH
98381,CYWH
98606,KPDX
99328,KALW
98601,KPDX
98858,KEAT
99328,KALW
98857,KMWH
98320,KSEA
99032,KGEG
98862,CYYF
98328,KSEA
98621,KPDX
99170,KGEG
26267,KCKB
26412,KCKB
26321,KCKB
26412,KCKB
26866,KSHD
26838,KSHD
26321,KCKB
25617,KCRW
24862,KCRW
25678,KCRW
25140,KCRW
26267,KCKB
26267,KCKB
26217,KCKB
24870,KCRW
53936,KMSN
54210,KESC
54667,KLSE
54618,KLSE
54970,KATW
82423,KCOD
82729,KGCC
82443,KRIW
83127,KJAC
82442,KRIW
98858,KEAT
99121,CYCG
99330,KPSC
99328,KALW
98857,KMWH
98537,KSEA
98249,KSEA
98320,KSEA
98102,KSEA
98359,KSEA
98828,KEAT
98539,KSEA
99032,KGEG
98563,KSEA
98862,CYYF
98614,KPDX
99006,KGEG
98328,KSEA
98286,KFHR
98274,KBLI
98671,KPDX
98270,KSEA
99006,KGEG
99006,KGEG
98505,KSEA
98621,KPDX
99329,KALW
98266,CYXX
99170,KGEG
98903,KYKM
26267,KCKB
25411,KHGR
25529,KCRW
26412,KCKB
26070,KPIT
25504,KHTS
25235,KCRW
25235,KCRW
26321,KCKB
26680,KLWB
26412,KCKB
26866,KSHD
24977,KLWB
25434,KHGR
26047,KPIT
26838,KSHD
26323,KCKB
25252,KCRW
25414,KHGR
25071,KCRW
26321,KCKB
25523,KHTS
25617,KCRW
24862,KCRW
26563,KCKB
26036,KPIT
25515,KHTS
24701,KLWB
