Zip_Code,Station
36502,KNSE
36017,KTOI
35115,KEET
35063,KBHM
36029,KMGM
36071,KPRN
36205,KANB
36854,KLGC
35984,KCHA
35115,KEET
36915,KMEI
36540,KGZH
36251,KANB
36264,KANB
36323,KTOI
35672,KMSL
36502,KNSE
35151,KALX
36476,KGZH
36323,KTOI
35619,KCMD
36360,KDHN
36758,KMGM
35968,KCHA
36024,KALX
36502,KNSE
35901,KGAD
35554,KBHM
35585,KTUP
36305,KDHN
35480,KTCL
36744,KTCL
36317,KTOI
36320,KMAI
35751,KMDQ
35022,KEKY
35576,KGTR
35614,KDCU
35619,KCMD
36874,KAUO
35614,KDCU
36043,KMGM
36039,KTOI
35803,KHSV
36722,KGZH
35554,KBHM
35175,KHSV
36571,KMOB
36444,KGZH
36043,KMGM
35175,KHSV
36786,KTCL
35576,KGTR
36082,KTOI
36264,KANB
36874,KAUO
35135,KPLR
35022,KEKY
36925,KMEI
35014,KPLR
36251,KANB
35184,KEKY
35130,KBHM
36529,KMOB
36722,KGZH
35541,KCMD
99661,PASD
99692,PADU
99523,PANC
99614,PAKI
99670,PAKN
99744,PAIN
99628,PADL
99712,PAFA
99827,PAHN
99825,PAOH
99801,PAJN
99672,PAEN
99901,PAKT
99643,PALB
99625,PAKN
99654,PANC
99769,PASA
99747,PABA
99749,PASK
99836,PAFE
99923,PAKT
99835,PASI
99840,PAGY
99738,PAEG
99588,PAVD
99903,PAKW
99689,PAYA
99627,PAMC
86556,KRQE
85617,KDUG
86002,KFLG
85541,KPAN
85543,KSAD
85534,KSVC
85359,KBLH
85040,KPHX
86442,KIFP
85942,KSOW
85730,KDMA
85117,KIWA
85640,KOLS
86314,KPRC
85364,KNYL
72073,KSGT
71663,KLLQ
72531,KBPK
72732,KROG
72685,KHRO
71651,KELD
71701,KCDH
72740,KASG
71653,KGLH
71728,KADF
72430,KTKX
72153,KCCA
72057,KPBF
71861,KMNE
72001,KRUE
72421,KJBR
72956,KFSM
72327,KAWM
72396,KAWM
71725,KADF
71662,KLLQ
71677,KLLQ
72039,KCCA
72933,KFSM
72542,KARG
71933,KHOT
72057,KPBF
72436,KTKX
71862,KTXK
71933,KHOT
71971,KDEQ
72112,KJBR
72561,KBVX
72112,KJBR
72073,KSGT
72830,KRUE
71861,KMNE
72440,KARG
72366,KCKM
71603,KPBF
71853,KTXK
72933,KFSM
72037,KSGT
72703,KASG
72661,KBPK
71834,KTXK
72330,KJBR
72021,KSGT
71933,KHOT
71858,KTXK
72628,KHRO
71701,KCDH
72001,KRUE
72366,KCKM
71971,KDEQ
72421,KJBR
71944,KDEQ
72801,KRUE
72170,KSGT
72116,KLIT
72413,KARG
72021,KSGT
72019,KLIT
72944,KRKR
72686,KCCA
72903,KFSM
71832,KDEQ
72542,KARG
72153,KCCA
71730,KELD
72013,KCCA
72703,KASG
72010,KBVX
72112,KJBR
72857,KRUE
94501,KOAK
95666,KSCK
95917,KOVE
95228,KSCK
95645,KSMF
94509,KOAK
95538,KCEC
95666,KSCK
93625,KFAT
95951,KOVE
95540,KFOT
92243,KIPL
93549,KNID
93304,KBFL
93239,KVIS
95457,KUKI
96114,KRNO
90013,KCQT
93639,KFAT
94979,KOAK
95369,KMER
95490,KSTS
95340,KMCE
96134,KMFR
93546,KMMH
93426,KSBP
94574,KSTS
96162,KRNO
90638,KFUL
95631,KSMF
95983,KRNO
92373,KSBD
95630,KMHR
95004,KWVI
92344,KSBD
91901,MMTJ
94109,KOAK
95202,KSCK
93420,KSBP
94404,KSFO
93105,KSBA
94550,KLVK
95033,KSJC
96001,KRDD
96118,KRNO
96134,KMFR
94590,KAPC
95448,KSTS
94550,KLVK
95645,KSMF
96022,KRDD
95595,KRDD
93247,KPTV
95311,KSCK
91304,KBUR
95616,KEDU
95977,KSMF
80229,KBJC
81101,KALS
80013,KBKF
81137,KDRO
81029,KSPD
81057,KLAA
80533,KLMO
80038,KDEN
81236,KAEJ
80825,KITR
80439,KBJC
81120,KALS
81120,KALS
81039,KPUB
81252,KALS
81410,KAJZ
80110,KAPA
81324,KMTJ
80104,KAPA
81645,KEGE
80832,KLIC
80903,KCOS
81240,KFCS
81641,KEEO
80422,KBDU
80446,KFNL
81235,KMTJ
81040,KVTP
80430,KHDN
80439,KBJC
81045,KLHX
80834,KITR
80461,KLXV
81326,KDRO
80549,KFNL
81039,KPUB
81076,KLHX
80741,KSTK
81523,KGJT
81154,KCPW
81638,KHDN
81335,KFMN
81402,KMTJ
80701,KFMM
81039,KPUB
81432,KMTJ
80827,KCOS
80731,KHEQ
81654,KASE
81052,KLAA
81039,KPUB
81638,KHDN
81135,KALS
81638,KHDN
81155,KALS
81432,KMTJ
81435,KTEX
80721,KHEQ
80443,KCCU
80813,KFCS
80741,KSTK
80642,KDEN
80758,KIML
6484,KHVN
6040,KBDL
6021,KBDL
6073,KBDL
6422,KHVN
6231,KBDL
6066,KBDL
6277,KORH
19977,KDOV
19711,KILG
19958,KGED
20001,KDCA
32601,KGNV
32234,KVQQ
32405,KPAM
32091,KGNV
